tau,total_energy_fraction,total_critical_fraction,C0_fraction,E0_fraction,N0,minority0,scale0,Rinf0,concentration0,Q3_0,Q8_0,Q16_0,C1_fraction,E1_fraction,N1,minority1,scale1,Rinf1,concentration1,Q3_1,Q8_1,Q16_1
0.0,1.0,1.0,1.0,1.0,6.465486640239153,0.3681210446747663,1.0,1.0,12.225505060972356,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.999983661547387,0.9999687420428469,0.999950932172407,0.9999720155138486,6.465350322361945,0.368118486801737,0.9999789160685355,1.0004770211444423,12.231250144541809,1.0003583450710798,1.000998882360374,1.0009120141599694,1.7725965670984658e-05,1.1470838464157014e-05,9.991161028829948,0.4095028707745299,1.54530688635997,0.004985263687718385,27.808150315971286,0.0047107315072460725,0.004933164760639094,0.005007681206506164
0.005,0.9999673235731968,0.9999482095670845,0.999876897183002,0.99992067985547,6.465203541499804,0.36811586682854264,0.9999562138544086,1.0009788061220886,12.237420975089478,1.00070163173123,1.0019776996046772,1.0018016935264353,7.097589610614158e-05,4.594261034996755e-05,9.988411728407256,0.40928798684294554,1.5448816592153367,0.009971648462313973,27.785687890382846,0.009428191986832295,0.009872472829688938,0.010019479328754919
0.0075,0.9999509856278646,0.999938427435528,0.9997778161281239,0.9998459075740063,6.4650463280567125,0.368113206566522,0.9999318980601244,1.0016055266243484,12.245243003450957,1.001029773919366,1.0029363589049853,1.0026691577188467,0.00015985097811386357,0.00010349932568471183,9.985711081565135,0.40907390904594226,1.5444639571934484,0.014956818808821895,27.75971863186713,0.014151946404539838,0.014817358703110507,0.0150348996623657
0.01,0.9999346472612213,0.9999394193642113,0.9996536164276676,0.999747619071722,6.464878713970875,0.36811052790578436,0.9999059736254818,1.002190339385953,12.252677297067677,1.0013426890608315,1.0038747734356959,1.003514536229002,0.0002844432862153871,0.0001842184951383276,9.983059874364807,0.4088606613175047,1.544053901872349,0.019938442479459736,27.730256170066163,0.018881562495661797,0.019767263453466924,0.020053464361307206
0.0125,0.9999183080225059,0.9999512079190452,0.9995042318441296,0.9996257406278208,6.464700732688259,0.36810785280573666,0.9998784457234816,1.0027331872101166,12.259723903911077,1.0016402980831594,1.0047928623354836,1.004337968176573,0.0004448358331868302,0.00028817113313236623,9.98045885202536,0.4086482659099465,1.543651608513136,0.024914192838849374,27.69731588185103,0.02361661090054938,0.024721634953155828,0.025074712575888624
0.015,0.9999019674603787,0.9999738145128934,0.9993296024974784,0.999480204418363,6.464512419135853,0.3681052032855666,0.9998493197561903,1.003234022632209,12.266382941630658,1.0019225254297002,1.0056905506652813,1.0051396020489272,0.0006411026227994364,0.0004154217641992001,9.977908718197146,0.4084367433911618,1.5432571859475797,0.029881751211329424,27.660914888576578,0.028356665294428877,0.02967992809105506,0.030098200542979216
0.0175,0.9998856251229334,1.0000072594030711,0.9991296748758592,0.9993109485322886,6.464313809694672,0.3681026014146923,0.9998186013505648,1.0036928079374507,12.272654597442761,1.0021892990711612,1.006567769362375,1.0059195954253202,0.0008733087045002727,0.0005660284324882948,9.975410134309532,0.40822611264833314,1.5428707364772392,0.03483880922712454,27.621072052091925,0.033101302510693265,0.03464160498234908,0.03512350162715284
0.02,0.9998692805577112,1.000051561689248,0.9989044018421459,0.9991179169835507,6.464104942172513,0.3681000693031861,0.9997862963542388,1.0041095151738446,12.278539128001192,1.002440550515047,1.007424455190732,1.0066781146855701,0.0011415102297928446,0.0007400427143202466,9.972963718994405,0.40801639089805547,1.5424923557842993,0.03978307116413659,27.57780796951066,0.0378501026562619,0.03960613517127604,0.04015020631166614
0.0225,0.9998529333117135,1.0001067393117464,0.9986537426363601,0.9989010597193722,6.463885855776509,0.36809762909218546,0.9997524108312774,1.0044841261603097,12.284036859249461,1.002676214812729,1.0082605506876636,1.007415334703373,0.0014457545100952016,0.0009375097336935819,9.970570047586502,0.40780759370280795,1.5421221328542873,0.04471225628212932,27.531144966746712,0.04260264921892315,0.04457299582651078,0.04517792213841957
