tau,total_energy_fraction,total_critical_fraction,C0_fraction,E0_fraction,N0,minority0,scale0,Rinf0,concentration0,Q3_0,Q8_0,Q16_0,C1_fraction,E1_fraction,N1,minority1,scale1,Rinf1,concentration1,Q3_1,Q8_1,Q16_1,C2_fraction,E2_fraction,N2,minority2,scale2,Rinf2,concentration2,Q3_2,Q8_2,Q16_2
0.0,1.0,1.0,1.0,1.0,6.8092325559512625,0.4027224442593372,0.9999999999999998,1.0000000000000002,14.935180636125873,1.0,1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.999828791433495,0.9997740249015338,0.9997406002412795,0.9998056596235454,6.808789465377079,0.4027195089675177,0.9999349279716114,1.000351568187951,14.940911048026614,1.0003036115340604,1.0009333912676217,1.0009908382377897,3.330247714828195e-05,2.2863193039374607e-05,9.91831329951922,0.4376879724053929,1.4565978203888221,0.0061278968150883534,27.88002363300184,0.006238897154042859,0.006132620492148479,0.0061373516314200205,1.8393802779974752e-10,7.386725067056335e-11,16.955779398875485,0.47240558500419005,2.4901160680811447,8.088285709072328e-06,34.99939898421649,1.058495672634475e-05,8.176399029518115e-06,7.900982978114122e-06
0.005,0.9996576250470087,0.9995680319146126,0.9994342535481411,0.9995650277807514,6.808341696289888,0.4027161768262912,0.9998691688594779,1.0006460217527695,14.94612476674768,1.0005784024839273,1.001831152055704,1.0019459619651738,0.00013328810162775156,9.15233856093658e-05,9.916478448451874,0.4374021029957997,1.4563283552101447,0.012263033366205746,27.880570519615404,0.012483806305472397,0.012269142691354224,0.01227530888609803,2.9111314100220828e-09,1.1694606197931392e-09,16.950182362943526,0.46992856880366135,2.4892940905842726,3.2057696734145165e-05,34.85187942738113,4.2022466128592896e-05,3.2385907037382176e-05,3.12705928363151e-05
0.0075,0.999486492419876,0.9993820456514017,0.9990808837668258,0.999278006253413,6.807889333299729,0.4027125035260169,0.9998027350893807,1.0008833953955971,14.950823691354724,1.0008242694119052,1.0026931631837588,1.0028654582087149,0.0003000521837238357,0.00020606994496977555,9.91471656963988,0.4371164210903385,1.4560696066951664,0.01841561087296999,27.89789390885555,0.018733774536002685,0.01840850926905686,0.018413067878330087,1.4578124174390743e-08,5.858021573018604e-09,16.945283743946757,0.4674652063269062,2.488574682199184,7.14383696986702e-05,34.691031208498956,9.384452581811776e-05,7.215850870012863e-05,6.96158430268557e-05
0.01,0.9993153851259334,0.9992160862660394,0.9986804354223515,0.9989445171673879,6.807432461967232,0.40270854510302134,0.9997356392267056,1.0010637424914848,14.955009808259673,1.0010411195848974,1.0035193194234022,1.0037494254412072,0.0005336608693997602,0.00036657021086134155,9.913028549743851,0.4368310426069784,1.455821705058358,0.02457860722478063,27.912411201577505,0.024987855754265587,0.024549680297947855,0.02454985742936272,4.557640089712228e-08,1.8318791675111666e-08,16.941090781299014,0.46501837305827665,2.487958906102056,0.00012572738289823697,34.517167180931615,0.00016559507376491712,0.0001270385686860631,0.0001224552347197279
0.0125,0.9991442947343704,0.9990701694247308,0.998232873716582,0.9985645030080191,6.806971168769004,0.4027043579020567,0.9996678939713575,1.0011871350117454,14.95868518981742,1.001228870980083,1.0043095293998534,1.0045979731443084,0.0008341513313955838,0.0005730695658600501,9.911415194077854,0.4365460785842192,1.455584768567683,0.03074931447562953,27.924136203715687,0.03124511121442011,0.0306916336135733,0.03068493801593425,1.1007185168341016e-07,4.425092013106513e-08,16.93761019559786,0.4625909614037071,2.4874477492760034,0.00019439185742231712,34.33059758231791,0.0002568314498316993,0.00019658689258607626,0.00018932154760266487
0.015,0.9989732128106072,0.9989443062801105,0.9977381845035013,0.9981379266130771,6.806505541062905,0.4026999985387392,0.9995995121526616,1.0012614805703806,14.961968805348988,1.0013874522804034,1.005063715483235,1.0054112213664204,0.0012015319766854314,0.0008255915251516085,9.909877225496581,0.4362616350831127,1.4553589033811682,0.036953920147365156,27.95493518356372,0.037504610010030595,0.036833365135493575,0.03681760061535999,2.2579499962692806e-07,9.078857078697231e-08,16.93484817641059,0.4601858808939176,2.4870421207173408,0.00027687199020688436,34.1316318812347,0.00036712578560483324,0.00028038273275565317,0.00026976483269227036
0.0175,0.99880213091719,0.9988385034499047,0.9971963742418236,0.9976647711433059,6.8060356670533775,0.4026955238620143,0.999530506724272,1.0013803290317969,14.9662594882236,1.0015168028599364,1.005781813669943,1.006189300276867,0.0016357826692890245,0.0011241378452050957,9.908415283493555,0.4359778131100336,1.4551442034144666,0.04317823073061387,27.98798106831346,0.043765429542934914,0.04297388914868577,0.04294716546072099,4.1384289267088055e-07,1.6641965756888467e-07,16.932810336165925,0.45780604938340586,2.486742844664141,0.0003725840027186238,33.920578367796864,0.0004960663149407385,0.00037802571887709624,0.00036335561850705915
0.02,0.998631040614711,0.9987527629998894,0.9966074699250941,0.9971450400307241,6.805561635756694,0.4026909909166939,0.9994608907590677,1.0014435568844964,14.97006183967721,1.0016168727592414,1.0064637734543778,1.0069323497174762,0.002136854967505095,0.001468688650828603,9.907029923512294,0.4356947085601769,1.4549407502396958,0.04941379015066311,28.018126035040105,0.05002665596719145,0.049112238545948,0.049072980720350975,6.984934350294694e-07,2.809085888191999e-07,16.931501660072446,0.45545438264986915,2.4865506532412858,0.0004811482642545672,33.713528185171846,0.0006432585948906252,0.0004891376899559038,0.00046968832741457793
0.0225,0.9984599334627452,0.9986870824311493,0.9959715189895044,0.9965787569048613,6.805083536966253,0.4026864569061132,0.9993906774440556,1.0014512708600458,14.973377807089314,1.001687622650775,1.0071095576913165,1.0076405187526414,0.0027046723747096847,0.0018592025800958211,9.905721616471736,0.43541241218165144,1.4547486130157417,0.05565783107272081,28.045381563117225,0.05628738460826078,0.05524746503213639,0.05519442111624308,1.1070328031303078e-06,4.4522335049244276e-07,16.930926455774085,0.45313378326943826,2.4864661790669005,0.0006025290371127624,33.53374445550094,0.0008083266298731505,0.0006133644016149808,0.0005883848770600128
