tau,total_energy_fraction,total_critical_fraction,C0_fraction,E0_fraction,N0,minority0,scale0,Rinf0,concentration0,Q3_0,Q8_0,Q16_0,C1_fraction,E1_fraction,N1,minority1,scale1,Rinf1,concentration1,Q3_1,Q8_1,Q16_1,C2_fraction,E2_fraction,N2,minority2,scale2,Rinf2,concentration2,Q3_2,Q8_2,Q16_2
0.0,1.0,1.0,1.0,1.0,6.809232555951264,0.4027224442593372,1.0,1.0,14.931647945039199,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.999828791433489,0.999774024901426,0.9997406002412094,0.9998056596235632,6.808789465376481,0.4027195089674458,0.9999349279715236,1.0003537454412357,14.937409512519537,1.0003036115012256,1.0009333912675735,1.000990838237718,3.330247711052575e-05,2.2863193015763292e-05,9.918313298517337,0.4376879723925499,1.456597820241686,0.006126406574585584,27.86665051984976,0.006238897115260072,0.006132620485301569,0.0061373516236834435,1.8393802881576517e-10,7.386725149979543e-11,16.955779302188855,0.4724056100735566,2.4901160538818012,8.075416130955384e-06,34.935444311828114,1.0584956692601054e-05,8.176397962466e-06,7.90098216762833e-06
0.005,0.9996576250469951,0.9995680319143686,0.9994342535480488,0.9995650277808334,6.8083416962887044,0.40271617682614963,0.999869168859304,1.0006499130944466,14.942647596170668,1.0005784024116864,1.0018311520556404,1.0019459619650755,0.00013328810147619918,9.15233855144837e-05,9.916478447456951,0.43740210298293986,1.456328355064031,0.012256593056567856,27.859336927170546,0.012483806210253794,0.012269142677674115,0.012275308870708811,2.911131392750294e-09,1.169460615720206e-09,16.95018232141099,0.4699285817792812,2.489294084484828,3.1914431638697075e-05,34.68792032625385,4.202246684907605e-05,3.2385904760967924e-05,3.1270591364370135e-05
0.0075,0.9994864924198533,0.9993820456509934,0.9990808837667605,0.9992780062536066,6.807889333297966,0.4027125035258081,0.9998027350891219,1.0008885476457412,14.947364244325621,1.0008242692944573,1.0026931631837135,1.0028654582086345,0.0003000521833818377,0.00020606994475543938,9.914716568651569,0.43711642107745863,1.4560696065500236,0.0184031333708278,27.87239734117092,0.01873377436356772,0.018408509248573977,0.018413067855394108,1.4578124033734213e-08,5.858021524483324e-09,16.945283720846998,0.46746521529556717,2.488574678806767,7.091945394657399e-05,34.43089572093477,9.38445289580514e-05,7.215850508254469e-05,6.961584104102383e-05
0.01,0.9993153851258999,0.9992160862654388,0.9986804354223623,0.9989445171677399,6.807432461964908,0.4027085451027474,0.9997356392263643,1.001069712634299,14.951561594448838,1.0010411194173492,1.003519319423409,1.0037494254411876,0.0005336608687902956,0.0003665702104790185,9.913028548761758,0.4368310425940726,1.4558217049141284,0.024558246043357542,27.882691483702278,0.024987855482727774,0.02454968027070899,0.024549857399007,4.557640037617762e-08,1.8318791480723242e-08,16.941090767429035,0.4650183800413405,2.4879589040651187,0.00012499544299086925,34.30810373579015,0.00016559508122506857,0.0001270385636031597,0.00012245523235690124
0.0125,0.9991442947343248,0.9990701694239089,0.9982328737167175,0.9985645030085777,6.806971168766123,0.40270435790171966,0.9996678939709344,1.0011934903659876,14.95524187163234,1.001228870758553,1.0043095293999462,1.0045979731443935,0.0008341513304414925,0.0005730695652610304,9.911415193101542,0.4365460785712789,1.4555847684243024,0.030719249263364043,27.890234753785048,0.03124511082313269,0.03069163357964129,0.030684937978306046,1.1007185031412056e-07,4.4250919602373695e-08,16.937610187258105,0.4625909672093421,2.4874477480512316,0.00019356570089669453,34.176608423785765,0.00025683146099676144,0.00019658688591841074,0.00018932154497916306
0.015,0.9989732128105473,0.9989443062790387,0.9977381845038115,0.9981379266138896,6.806505541059483,0.40269999853834104,0.999599512152159,1.0012599818132843,14.958407387105241,1.0013874520020791,1.005063715483447,1.0054112213666515,0.0012015319753096423,0.0008255915242871757,9.909877224525589,0.436261635070127,1.455358903238569,0.03688659909721023,27.897407835004657,0.03750460948186213,0.036833365094946814,0.03681760057062587,2.2579499667676985e-07,9.078856962582319e-08,16.934848171735677,0.4601858859258073,2.4870421200307855,0.0002761198540384032,34.030860468969216,0.0003671257944232669,0.00028038272438544803,0.0002697648298936379
0.0175,0.9988021309171143,0.9988385034485544,0.9971963742423574,0.9976647711444199,6.806035667049422,0.4026955238615568,0.9995305067236913,1.0012693065017437,14.961060536758554,1.0015168025230738,1.0057818136703078,1.0061893002772866,0.0016357826674147768,0.0011241378440266963,9.90841528252738,0.4359778130969891,1.4551442032725748,0.04309458128378014,27.927152487306234,0.043765428865609704,0.04297388910161789,0.04294716540906596,4.138428870948781e-07,1.6641965534713077e-07,16.932810334076276,0.4578060538718103,2.486742844357256,0.0003721293025820697,33.87116843350149,0.0004960663099307677,0.0003780257086851517,0.00036335561557775435
0.02,0.9986310406146179,0.9987527629982321,0.9966074699259005,0.9971450400321872,6.805561635752218,0.40269099091617894,0.9994608907584104,1.0012216023832679,14.963203799687589,1.0016168723631158,1.0064637734549289,1.0069323497181255,0.002136854965056156,0.0014686886492880115,9.907029922550414,0.43569470854705833,1.4549407500984348,0.049312452281416216,27.954052762587068,0.050026655132948204,0.04911223849246735,0.049072980661977496,6.984934254267766e-07,2.809085849605206e-07,16.931501659881167,0.45545438673827543,2.4865506532131945,0.00048103818549784276,33.697842718402036,0.0006432585642559397,0.000489137677818515,0.000469688324347585
0.0225,0.9984599334626328,0.9986870824291558,0.9959715189906323,0.9965787569067206,6.805083536961265,0.4026864569055425,0.9993906774433231,1.001117025696456,14.964839736753666,1.0016876221956068,1.0071095576920865,1.0076405187535598,0.002704672371610563,0.0018592025781453056,9.905721615513597,0.43541241216844195,1.45474861287503,0.055537497770580625,27.978127551685184,0.05628738361343941,0.05524746497236563,0.055194421051370166,1.1070327877045558e-06,4.452233442559959e-07,16.930926457012323,0.45313378705307444,2.4864661792487475,0.000602266321264592,33.51119480452005,0.0008083265700050793,0.000613364387400916,0.0005883848737864583
